state,action,reward,next_state
"[3.939213752746582, 89.56707000732422, 7.923989295959473]",0.0,-32.18982321848674,"[3.939213752746582, 111.83760833740234, 6.318973541259766]"
"[3.939213752746582, 111.83760833740234, 6.318973541259766]",0.0,-22.688949096476147,"[3.939213752746582, 71.56208801269531, 6.570685863494873]"
"[3.939213752746582, 71.56208801269531, 6.570685863494873]",0.0,-19.72914958923252,"[3.939213752746582, 68.30241394042969, 6.2826642990112305]"
"[3.939213752746582, 68.30241394042969, 6.2826642990112305]",0.0,-15.01957725402645,"[3.939213752746582, 32.208526611328125, 4.306528091430664]"
"[3.939213752746582, 32.208526611328125, 4.306528091430664]",0.0,-12.6272503055906,"[3.939213752746582, 25.24181365966797, 5.4271063804626465]"
"[3.939213752746582, 25.24181365966797, 5.4271063804626465]",0.0,-11.033805192338148,"[3.939213752746582, 42.865875244140625, 3.8997952938079834]"
"[3.939213752746582, 42.865875244140625, 3.8997952938079834]",0.0,-11.360921762603136,"[3.939213752746582, 52.86817169189453, 3.799379348754883]"
"[3.939213752746582, 52.86817169189453, 3.799379348754883]",0.0,-23.40878471605478,"[3.939213752746582, 88.15071105957031, 1.3798125982284546]"
"[3.939213752746582, 88.15071105957031, 1.3798125982284546]",50.0,-25.007141495280127,"[53.939212799072266, 92.57196807861328, 2.57301664352417]"
"[53.939212799072266, 92.57196807861328, 2.57301664352417]",50.0,-36.82894703338758,"[100.0, 106.76181030273438, 0.3728720247745514]"
"[100.0, 106.76181030273438, 0.3728720247745514]",0.0,-30.102110136725,"[100.0, 135.67515563964844, 4.065961837768555]"
"[100.0, 135.67515563964844, 4.065961837768555]",0.0,-34.576271353120035,"[100.0, 121.64092254638672, 0.2561354339122772]"
"[100.0, 121.64092254638672, 0.2561354339122772]",0.0,-27.685640783094758,"[100.0, 91.36389923095703, 2.7556629180908203]"
"[100.0, 91.36389923095703, 2.7556629180908203]",-91.36389923095703,88.6988187167362,"[8.636100769042969, 76.21509552001953, 1.6569428443908691]"
"[8.636100769042969, 76.21509552001953, 1.6569428443908691]",50.0,-11.923975213942386,"[58.63610076904297, 54.565635681152344, 4.603014945983887]"
"[58.63610076904297, 54.565635681152344, 4.603014945983887]",-54.565635681152344,62.34578847537128,"[4.070465087890625, 23.228700637817383, 4.59785270690918]"
"[4.070465087890625, 23.228700637817383, 4.59785270690918]",0.0,0.0,"[4.070465087890625, -5.2639851570129395, 4.414697647094727]"
"[50.0, -8.484899520874023, 5.5600738525390625]",8.484899520874023,0.0,"[58.484901428222656, -5.801541328430176, 6.376132488250732]"
"[58.484901428222656, -5.801541328430176, 6.376132488250732]",5.801541328430176,-2.152571586756651,"[64.28644561767578, -2.7832860946655273, 6.219217300415039]"
"[64.28644561767578, -2.7832860946655273, 6.219217300415039]",2.7832860946655273,-8.206444561802302,"[67.06973266601562, -7.515125751495361, 8.251626968383789]"
"[67.06973266601562, -7.515125751495361, 8.251626968383789]",-33.53486633300781,180.6139776013156,"[33.53486633300781, 28.728839874267578, 8.431658744812012]"
"[33.53486633300781, 28.728839874267578, 8.431658744812012]",-4.806026458740234,-5.801449132542478,"[28.728839874267578, 30.49781036376953, 8.172000885009766]"
"[28.728839874267578, 30.49781036376953, 8.172000885009766]",0.0,-19.841039467796723,"[28.728839874267578, 59.16964340209961, 7.664649963378906]"
"[28.728839874267578, 59.16964340209961, 7.664649963378906]",0.0,-25.75929693762714,"[28.728839874267578, 83.2054214477539, 7.629085540771484]"
"[28.728839874267578, 83.2054214477539, 7.629085540771484]",0.0,-26.95441914930542,"[28.728839874267578, 91.14661407470703, 6.435455322265625]"
"[28.728839874267578, 91.14661407470703, 6.435455322265625]",0.0,-26.310858338615294,"[28.728839874267578, 95.3249282836914, 7.1438703536987305]"
"[28.728839874267578, 95.3249282836914, 7.1438703536987305]",0.0,-28.495302926282015,"[28.728839874267578, 79.66188049316406, 4.288078784942627]"
"[28.728839874267578, 79.66188049316406, 4.288078784942627]",0.0,-11.818898396098321,"[28.728839874267578, 34.096927642822266, 5.378615379333496]"
"[28.728839874267578, 34.096927642822266, 5.378615379333496]",0.0,-9.777311502669496,"[28.728839874267578, 28.074169158935547, 4.389327526092529]"
"[28.728839874267578, 28.074169158935547, 4.389327526092529]",-28.074169158935547,10.053378566122085,"[0.6546707153320312, 46.90443801879883, 2.5929150581359863]"
"[0.6546707153320312, 46.90443801879883, 2.5929150581359863]",50.0,-11.55745262801749,"[50.65467071533203, 43.26872253417969, 3.504953145980835]"
"[50.65467071533203, 43.26872253417969, 3.504953145980835]",-43.26872253417969,18.58331983601454,"[7.385948181152344, 70.40708923339844, 1.694732427597046]"
"[7.385948181152344, 70.40708923339844, 1.694732427597046]",50.0,-26.232182928070802,"[57.385948181152344, 107.10066223144531, 2.6160833835601807]"
"[57.385948181152344, 107.10066223144531, 2.6160833835601807]",50.0,-32.36689915328408,"[100.0, 98.33536529541016, 3.189638137817383]"
"[100.0, 98.33536529541016, 3.189638137817383]",-98.33536529541016,47.8479469899484,"[1.6646347045898438, 115.07332611083984, 2.20332670211792]"
"[1.6646347045898438, 115.07332611083984, 2.20332670211792]",50.0,-40.37944745182127,"[51.664634704589844, 114.1448974609375, 2.704463481903076]"
"[51.664634704589844, 114.1448974609375, 2.704463481903076]",0.0,-29.424141104217508,"[51.664634704589844, 86.37398529052734, 2.990180730819702]"
"[51.664634704589844, 86.37398529052734, 2.990180730819702]",0.0,-27.863084605674388,"[51.664634704589844, 77.85879516601562, 3.0318100452423096]"
"[51.664634704589844, 77.85879516601562, 3.0318100452423096]",0.0,-17.451837261122975,"[51.664634704589844, 46.94015884399414, 2.997156858444214]"
"[51.664634704589844, 46.94015884399414, 2.997156858444214]",-46.94015884399414,102.68793505446544,"[4.724475860595703, 8.734551429748535, 4.0541205406188965]"
"[4.724475860595703, 8.734551429748535, 4.0541205406188965]",0.0,-5.598298241601559,"[4.724475860595703, -0.7279766798019409, 4.9965925216674805]"
"[50.0, -21.01013946533203, 4.423346996307373]",21.01013946533203,-2.172907718097689,"[71.01013946533203, -0.6400964260101318, 6.627800464630127]"
"[71.01013946533203, -0.6400964260101318, 6.627800464630127]",-35.505069732666016,179.6755371846544,"[35.505069732666016, -15.681510925292969, 5.964775085449219]"
"[35.505069732666016, -15.681510925292969, 5.964775085449219]",15.681510925292969,0.0,"[51.186580657958984, -6.235118865966797, 7.324331283569336]"
"[51.186580657958984, -6.235118865966797, 7.324331283569336]",-25.593290328979492,42.604713394856,"[25.593290328979492, 14.333846092224121, 8.395395278930664]"
